N,Tiempo (segundos),Primo1,Primo2,Algoritmo
53387,0.022765803337097167,197,271,Shor clásico
1676989,0.3360245704650879,1301,1289,Shor clásico
5596867,0.31785595417022705,2399,2333,Shor clásico
12445943,6.711947822570801,3499,3557,Shor clásico
21734123,7.169876837730408,4651,4673,Shor clásico
32216687,45.78807816505432,5659,5693,Shor clásico
46197913,7.31069769859314,6833,6761,Shor clásico
63598861,4.962604928016662,7933,8017,Shor clásico
83629729,3.904842233657837,9181,9109,Shor clásico
