N,Tiempo (segundos),Primo1,Primo2
35263,1.0843913555145264,179,197
288139,1.2791800498962402,467,617
879763,36.044219732284546,947,929
1540163,49.97608518600464,1291,1193
2692097,15.826524257659912,1669,1613
3851621,201.8525161743164,1867,2063
5807371,71.80883884429932,2383,2437
7683023,255.0948760509491,2803,2741
9618683,18.02796459197998,3163,3041
12158269,38.92559289932251,3517,3457
