N,Tiempo (segundos),Primo1,Primo2
74483,0.6610610485076904,211.0,353
1791157,9.358646631240845,1297.0,1381
5958157,29.07288360595703,2423.0,2459
12981509,61.213874101638794,3593.0,3613
22077001,98.79729175567627,4639.0,4759
33115669,145.59008479118347,5689.0,5821
48093649,199.39055919647217,6911.0,6959
63567433,276.7300319671631,7937.0,8009
81268289,334.3213975429535,8971.0,9059
102736471,458.6497805118561,10091.0,10181
